rows,status,score,message,missing_columns,duplicates,nan_cells,first_time,last_time,gap_warning,timeframe,checked_at,data_version,saved_at
5000,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-28 21:45:12,2026-06-01 09:04:12,,M1,2026-06-01 09:04:12,1,2026-06-01 09:04:12
5000,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-28 21:45:12,2026-06-01 09:04:12,,M1,2026-06-01 09:05:57,2,2026-06-01 09:05:57
5000,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-28 21:45:12,2026-06-01 09:04:12,,M1,2026-06-01 09:18:44,3,2026-06-01 09:18:44
5000,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-28 21:45:12,2026-06-01 09:04:12,,M1,2026-06-01 09:20:29,4,2026-06-01 09:20:29
5000,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-28 21:45:12,2026-06-01 09:04:12,,M1,2026-06-01 09:29:41,5,2026-06-01 09:29:41
5000,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-28 21:45:12,2026-06-01 09:04:12,,M1,2026-06-01 09:48:44,6,2026-06-01 09:48:44
600,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-14 02:00:00,2026-06-08 01:00:00,,H1,2026-06-07 22:07:58,1,2026-06-07 22:07:58
600,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-14 03:00:00,2026-06-08 02:00:00,,H1,2026-06-07 22:38:10,1,2026-06-07 22:38:10
600,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-14 03:00:00,2026-06-08 02:00:00,,H1,2026-06-07 22:50:13,2,2026-06-07 22:50:13
600,GOOD,100,Shared dataframe is clean enough for all tabs.,[],0,0,2026-05-14 03:00:00,2026-06-08 02:00:00,,H1,2026-06-07 23:02:14,3,2026-06-07 23:02:14
